test,1M,10M,100M,500M,1000M,1500M
for,0.712859,6.58523,65.257156,326.461702,650.047934,987.626864
while,0.729554,5.980779,59.024065,293.101141,581.896405,896.708991
foreach,0.682404,5.935197,60.302103,292.27552,581.990308,925.448645
iterator,0.960067,7.874804,78.33981,387.837793,787.177051,1278.383784
iterator(impl),0.952333,7.858538,78.87763,389.173484,784.504061,1284.949938
